410,"gesperrt, (L) Stau"
411,"gesperrt, 1 km Stau"
412,"gesperrt, 2 km Stau"
413,"gesperrt, 4 km Stau"
414,"gesperrt, 6 km Stau"
415,"gesperrt, 10 km Stau"
416,"gesperrt, Staugefahr"
417,"gesperrt, (L) stockender Verkehr"
418,"gesperrt, 1 km stockender Verkehr"
419,"gesperrt, 2 km stockender Verkehr"
420,"gesperrt, 4 km stockender Verkehr"
421,"gesperrt, 6 km stockender Verkehr"
422,"gesperrt, 10 km stockender Verkehr"
423,"gesperrt, Gefahr von stockendem Verkehr"
424,"gesperrt, (L) dichter Verkehr"
425,"gesperrt, 1 km dichter Verkehr"
426,"gesperrt, 2 km dichter Verkehr"
427,"gesperrt, 4 km dichter Verkehr"
428,"gesperrt, 6 km dichter Verkehr"
429,"gesperrt, 10 km dichter Verkehr"
430,"gesperrt, dichter Verkehr zu erwarten"
431,"gesperrt, (L) reger Verkehr"
432,"gesperrt, reger Verkehr zu erwarten"
433,"gesperrt, störungsfreier Verkehr"
434,"gesperrt, (L) dichter Verkehr mit zunehmender Tendenz"
435,"gesperrt, Zeitverlust"
436,"gesperrt, es ist mit Zeitverlust zu rechnen"
437,"gesperrt, großer Zeitverlust"
438,"blockiert, (L) Stau"
439,"blockiert, 1 km Stau"
440,"blockiert, 2 km Stau"
441,"blockiert, 4 km Stau"
442,"blockiert, 6 km Stau"
443,"blockiert, 10 km Stau"
444,"blockiert, Staugefahr"
445,"blockiert, (L) stockender Verkehr"
446,"blockiert, 1 km stockender Verkehr"
447,"blockiert, 2 km stockender Verkehr"
448,"blockiert, 4 km stockender Verkehr"
449,"blockiert, 6 km stockender Verkehr"
450,"blockiert, 10 km stockender Verkehr"
451,"blockiert, Gefahr von stockendem Verkehr"
452,"blockiert, (L) dichter Verkehr"
453,"blockiert, 1 km dichter Verkehr"
454,"blockiert, 2 km dichter Verkehr"
455,"blockiert, 4 km dichter Verkehr"
456,"blockiert, 6 km dichter Verkehr"
457,"blockiert, 10 km dichter Verkehr"
458,"blockiert, dichter Verkehr zu erwarten"
459,"blockiert, (L) reger Verkehr"
460,"blockiert, reger Verkehr zu erwarten"
461,"blockiert, störungsfreier Verkehr"
462,"blockiert, (L) dichter Verkehr mit zunehmender Tendenz"
463,"blockiert, Zeitverlust"
464,"blockiert, es ist mit Zeitverlust zu rechnen"
465,"blockiert, großer Zeitverlust"
466,Anschlussstelle wieder frei
467,wieder frei
468,Meldung aufgehoben
469,gesperrt
470,blockiert
471,Einfahrt gesperrt
472,Einfahrt blockiert
473,Einfahrt blockiert
474,Ausfahrt gesperrt
475,Ausfahrt blockiert
476,Ausfahrt blockiert
477,Anschlussstelle blockiert
